"","link","titulo","preco","cidade","bairro","adicional","tem_quarto","tem_area","tem_taxa","tem_garagem","qtd_quarto","taxa_condominio","area_condominio","garagem"
"986","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/pedra-de-itapuca-708748728","Pedra de Itapuca",2500000,"Niterói"," Icaraí","4 quarto | 200m² | Condomínio: RS 3.210 | 3 vagas",TRUE,TRUE,TRUE,TRUE,4,3210,200,3
"987","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-105-m-por-r-1-250-000-00-icarai-niteroi-rj-656986245","Apartamento com 3 dormitórios à venda, 105 m² por R$ 1.250.000,00 - Icaraí - Niterói/RJ",1250000,"Niterói"," Icaraí","3 quarto | 105m² | Condomínio: RS 900 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,900,105,2
"988","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-85-m-por-r-450-000-00-icarai-niteroi-rj-739092823","Apartamento à venda, 85 m² por R$ 450.000,00 - Icaraí - Niterói/RJ",450000,"Niterói"," Icaraí","2 quarto | 85m² | Condomínio: RS 1.800 | 2 vagas",TRUE,TRUE,TRUE,TRUE,2,1800,85,2
"989","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/miolo-de-icarai-744624859","Miolo de Icaraí",420000,"Niterói"," Icaraí","1 quarto | 51m² | Condomínio: RS 636",TRUE,TRUE,TRUE,FALSE,1,636,51,0
"990","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-113-m-por-r-1-420-000-00-icarai-niteroi-rj-634555186","Apartamento com 3 dormitórios à venda, 113 m² por R$ 1.420.000,00 - Icaraí - Niterói/RJ",1420000,"Niterói"," Icaraí","3 quarto | 113m² | 2 vagas",TRUE,TRUE,FALSE,TRUE,3,NA,113,2
"991","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-a-venda-300-m-por-r-2-000-000-00-icarai-niteroi-rj-731645324","Casa à venda, 300 m² por R$ 2.000.000,00 - Icaraí - Niterói/RJ",2e+06,"Niterói"," Icaraí","5 quarto | 300m² | 5 vaga",TRUE,TRUE,FALSE,TRUE,5,NA,300,5
"992","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-3-dormitorios-em-icarai-niteroi-cod-853147-619033439","Apartamento à venda com 3 dormitórios em Icaraí, Niterói cod:853147",850000,"Niterói"," Icaraí","3 quarto | 94m² | Condomínio: RS 850 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,850,94,2
"993","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-3-dormitorios-em-icarai-niteroi-cod-831567-517969223","Apartamento à venda com 3 dormitórios em Icaraí, Niterói cod:831567",9e+05,"Niterói"," Icaraí","3 quarto | 108m² | Condomínio: RS 1.080 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,1080,108,1
"994","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-3-dormitorios-em-icarai-niteroi-cod-ap1452-674997166","Apartamento à venda com 3 dormitórios em Icaraí, Niterói cod:AP1452",1190000,"Niterói"," Icaraí","3 quarto | 150m² | Condomínio: RS 2.100 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,2100,150,1
"995","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-com-4-dormitorios-a-venda-400-m-por-r-1-300-000-icarai-niteroi-rj-668366358","Casa com 4 dormitórios à venda, 400 m² por R$ 1.300.000 - Icaraí - Niterói/RJ",1500000,"Niterói"," Icaraí","4 quarto | 400m² | 2 vagas",TRUE,TRUE,FALSE,TRUE,4,NA,400,2
"996","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/praia-de-icarai-3-quartos-561441224","Praia de Icaraí 3 quartos",1530000,"Niterói"," Icaraí","3 quarto | 180m² | Condomínio: RS 2.032 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,2032,180,1
"997","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/cobertura-com-3-dormitorios-a-venda-176m-por-r-1-145-000-santa-rosa-niteroi-rj-co0-637419086","Cobertura com 3 dormitórios à venda, 176m² por R$1.145.000 - Santa Rosa - Niterói/RJ - CO0",1145000,"Niterói"," Icaraí","3 quarto | 176m² | Condomínio: RS 1 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,1,176,2
"998","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/anizio-moreira-vende-cobertura-3-quartos-icarai-736823606","Anizio Moreira vende - Cobertura 3 Quartos / Icaraí",2300000,"Niterói"," Icaraí","3 quarto | 240m² | Condomínio: RS 1.700 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,1700,240,2
"999","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-localizacao-na-praia-de-icarai-apartamento-3-quartos-com-1-vaga-r-970-000-00-728386433","Excelente localização na Praia de Icaraí! Apartamento 3 quartos com 1 vaga, R$970.000,00",1050000,"Niterói"," Icaraí","3 quarto | 148m² | Condomínio: RS 1.600 | 1 vaga",TRUE,TRUE,TRUE,TRUE,3,1600,148,1
"1000","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-3-dormitorios-em-icarai-niteroi-cod-803501-659656296","Apartamento à venda com 3 dormitórios em Icaraí, Niterói cod: 803501",1080000,"Niterói"," Icaraí","3 quarto | 114m² | Condomínio: RS 1.316 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,1316,114,2
"1001","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-apartamento-com-1-lance-de-escadas-frente-sol-manha-sala-2-quartos-banho-c-768400987","Excelente Apartamento com 1 Lance de Escadas, Frente, Sol Manhã, Sala, 2 Quartos, Banho, C",285000,"Niterói"," Icaraí","2 quarto | 65m² | Condomínio: RS 466",TRUE,TRUE,TRUE,FALSE,2,466,65,0
"1002","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/cobertura-com-3-dormitorios-a-venda-173-m-icarai-niteroi-rj-768400984","Cobertura com 3 dormitórios à venda, 173 m² - Icaraí - Niterói/RJ",1590000,"Niterói"," Icaraí","3 quarto | 173m² | Condomínio: RS 1.500 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,1500,173,2
"1003","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-venda-em-niteroi-icarai-3-dormitorios-1-suite-2-banheiros-2-vagas-768346330","Apartamento para Venda em Niterói, Icaraí, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas",6e+05,"Niterói"," Icaraí","3 quarto | 105m² | Condomínio: RS 1.100 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,1100,105,2
"1004","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-venda-em-niteroi-icarai-1-dormitorio-2-banheiros-1-vaga-768346359","Apartamento para Venda em Niterói, Icaraí, 1 dormitório, 2 banheiros, 1 vaga",870000,"Niterói"," Icaraí","1 quarto | 175m² | Condomínio: RS 1.290 | 1 vaga",TRUE,TRUE,TRUE,TRUE,1,1290,175,1
